Date,Latitude,Longitude,value
2050,47,5.5,0
2050,47.25,5.5,0
2050,47.5,5.5,0
2050,47.75,5.5,0
2050,48,5.5,0
2050,48.25,5.5,0
2050,48.5,5.5,0
2050,48.75,5.5,0
2050,49,5.5,0
2050,49.25,5.5,0
2050,49.5,5.5,0
2050,49.75,5.5,0
2050,50,5.5,0
2050,50.25,5.5,0
2050,50.5,5.5,0
2050,50.75,5.5,0
2050,51,5.5,0
2050,51.25,5.5,0
2050,51.5,5.5,0
2050,51.75,5.5,0
2050,52,5.5,0
2050,52.25,5.5,0
2050,52.5,5.5,0
2050,52.75,5.5,0
2050,53,5.5,0
2050,53.25,5.5,0
2050,53.5,5.5,0
2050,53.75,5.5,88.60317838
2050,54,5.5,142.7884615
2050,54.25,5.5,142.7884615
2050,54.5,5.5,142.7884615
2050,54.75,5.5,142.7884615
2050,55,5.5,142.7884615
2050,55.25,5.5,0
2050,55.5,5.5,142.7884615
2050,55.75,5.5,142.7884615
2050,56,5.5,142.7884615
2050,56.25,5.5,142.7884615
2050,56.5,5.5,142.7884615
2050,56.75,5.5,142.7884615
2050,57,5.5,142.7884615
2050,47,5.75,0
2050,47.25,5.75,0
2050,47.5,5.75,0
2050,47.75,5.75,0
2050,48,5.75,0
2050,48.25,5.75,0
2050,48.5,5.75,0
2050,48.75,5.75,0
2050,49,5.75,0
2050,49.25,5.75,0
2050,49.5,5.75,0
2050,49.75,5.75,0
2050,50,5.75,0
2050,50.25,5.75,0
2050,50.5,5.75,0
2050,50.75,5.75,0
2050,51,5.75,0
2050,51.25,5.75,0
2050,51.5,5.75,0
2050,51.75,5.75,0
2050,52,5.75,0
2050,52.25,5.75,0
2050,52.5,5.75,0
2050,52.75,5.75,0
2050,53,5.75,0
2050,53.25,5.75,0
2050,53.5,5.75,0
2050,53.75,5.75,88.60317838
2050,54,5.75,142.7884615
2050,54.25,5.75,362.5794527
2050,54.5,5.75,142.7884615
2050,54.75,5.75,142.7884615
2050,55,5.75,142.7884615
2050,55.25,5.75,0
2050,55.5,5.75,142.7884615
2050,55.75,5.75,142.7884615
2050,56,5.75,142.7884615
2050,56.25,5.75,142.7884615
2050,56.5,5.75,142.7884615
2050,56.75,5.75,142.7884615
2050,57,5.75,142.7884615
2050,47,6,0
2050,47.25,6,0
2050,47.5,6,0
2050,47.75,6,0
2050,48,6,0
2050,48.25,6,0
2050,48.5,6,0
2050,48.75,6,0
2050,49,6,0
2050,49.25,6,0
2050,49.5,6,0
2050,49.75,6,0
2050,50,6,0
2050,50.25,6,0
2050,50.5,6,0
2050,50.75,6,129.4941695
2050,51,6,249.5641695
2050,51.25,6,88.60317838
2050,51.5,6,88.60317838
2050,51.75,6,101.3941695
2050,52,6,0
2050,52.25,6,0
2050,52.5,6,0
2050,52.75,6,0
2050,53,6,0
2050,53.25,6,0
2050,53.5,6,0
2050,53.75,6,88.60317838
2050,54,6,142.7884615
2050,54.25,6,720.5794527
2050,54.5,6,158.5794527
2050,54.75,6,142.7884615
2050,55,6,142.7884615
2050,55.25,6,0
2050,55.5,6,142.7884615
2050,55.75,6,142.7884615
2050,56,6,142.7884615
2050,56.25,6,142.7884615
2050,56.5,6,142.7884615
2050,56.75,6,142.7884615
2050,57,6,142.7884615
2050,47,6.25,0
2050,47.25,6.25,0
2050,47.5,6.25,0
2050,47.75,6.25,0
2050,48,6.25,0
2050,48.25,6.25,0
2050,48.5,6.25,0
2050,48.75,6.25,0
2050,49,6.25,0
2050,49.25,6.25,88.60317838
2050,49.5,6.25,88.60317838
2050,49.75,6.25,88.60317838
2050,50,6.25,172.2941695
2050,50.25,6.25,203.9041695
2050,50.5,6.25,181.9941695
2050,50.75,6.25,174.7941695
2050,51,6.25,286.6441695
2050,51.25,6.25,122.3040695
2050,51.5,6.25,194.7704695
2050,51.75,6.25,209.9941695
2050,52,6.25,0
2050,52.25,6.25,0
2050,52.5,6.25,0
2050,52.75,6.25,0
2050,53,6.25,0
2050,53.25,6.25,0
2050,53.5,6.25,0
2050,53.75,6.25,88.60317838
2050,54,6.25,142.7884615
2050,54.25,6.25,142.7884615
2050,54.5,6.25,386.5794527
2050,54.75,6.25,142.7884615
2050,55,6.25,142.7884615
2050,55.25,6.25,0
2050,55.5,6.25,142.7884615
2050,55.75,6.25,142.7884615
2050,56,6.25,142.7884615
2050,56.25,6.25,142.7884615
2050,56.5,6.25,142.7884615
2050,56.75,6.25,142.7884615
2050,57,6.25,142.7884615
2050,47,6.5,0
2050,47.25,6.5,0
2050,47.5,6.5,0
2050,47.75,6.5,0
2050,48,6.5,0
2050,48.25,6.5,0
2050,48.5,6.5,0
2050,48.75,6.5,0
2050,49,6.5,0
2050,49.25,6.5,88.60317838
2050,49.5,6.5,145.0941695
2050,49.75,6.5,118.0941695
2050,50,6.5,176.8441695
2050,50.25,6.5,234.3016695
2050,50.5,6.5,221.8691695
2050,50.75,6.5,160.6541695
2050,51,6.5,476.9941695
2050,51.25,6.5,157.9441695
2050,51.5,6.5,166.8941695
2050,51.75,6.5,185.2141695
2050,52,6.5,94.69416951
2050,52.25,6.5,0
2050,52.5,6.5,0
2050,52.75,6.5,0
2050,53,6.5,0
2050,53.25,6.5,0
2050,53.5,6.5,0
2050,53.75,6.5,200.3941695
2050,54,6.5,1232.979453
2050,54.25,6.5,546.5794527
2050,54.5,6.5,306.5794527
2050,54.75,6.5,142.7884615
2050,55,6.5,142.7884615
2050,55.25,6.5,0
2050,55.5,6.5,142.7884615
2050,55.75,6.5,142.7884615
2050,56,6.5,142.7884615
2050,56.25,6.5,142.7884615
2050,56.5,6.5,142.7884615
2050,56.75,6.5,142.7884615
2050,57,6.5,142.7884615
2050,47,6.75,0
2050,47.25,6.75,0
2050,47.5,6.75,0
2050,47.75,6.75,0
2050,48,6.75,0
2050,48.25,6.75,0
2050,48.5,6.75,0
2050,48.75,6.75,0
2050,49,6.75,0
2050,49.25,6.75,88.60317838
2050,49.5,6.75,150.2791695
2050,49.75,6.75,141.3441695
2050,50,6.75,106.4641695
2050,50.25,6.75,98.80416951
2050,50.5,6.75,117.1441695
2050,50.75,6.75,140.4941695
2050,51,6.75,137.1441695
2050,51.25,6.75,117.3941695
2050,51.5,6.75,103.0441695
2050,51.75,6.75,164.0463695
2050,52,6.75,141.0341695
2050,52.25,6.75,0
2050,52.5,6.75,124.4941695
2050,52.75,6.75,103.5941695
2050,53,6.75,0
2050,53.25,6.75,0
2050,53.5,6.75,0
2050,53.75,6.75,88.60317838
2050,54,6.75,425.7294527
2050,54.25,6.75,148.5794527
2050,54.5,6.75,142.7884615
2050,54.75,6.75,142.7884615
2050,55,6.75,142.7884615
2050,55.25,6.75,0
2050,55.5,6.75,142.7884615
2050,55.75,6.75,142.7884615
2050,56,6.75,142.7884615
2050,56.25,6.75,142.7884615
2050,56.5,6.75,142.7884615
2050,56.75,6.75,142.7884615
2050,57,6.75,142.7884615
2050,47,7,0
2050,47.25,7,0
2050,47.5,7,0
2050,47.75,7,0
2050,48,7,0
2050,48.25,7,0
2050,48.5,7,0
2050,48.75,7,0
2050,49,7,0
2050,49.25,7,88.60317838
2050,49.5,7,158.7741695
2050,49.75,7,298.1141695
2050,50,7,93.69416951
2050,50.25,7,116.9841695
2050,50.5,7,112.3941695
2050,50.75,7,100.8941695
2050,51,7,98.29416951
2050,51.25,7,100.0941695
2050,51.5,7,107.2441695
2050,51.75,7,186.0341695
2050,52,7,266.8341695
2050,52.25,7,126.9941695
2050,52.5,7,206.8941695
2050,52.75,7,131.9941695
2050,53,7,88.60317838
2050,53.25,7,94.69416951
2050,53.5,7,215.0691695
2050,53.75,7,88.60317838
2050,54,7,803.2734527
2050,54.25,7,142.7884615
2050,54.5,7,142.7884615
2050,54.75,7,142.7884615
2050,55,7,142.7884615
2050,55.25,7,0
2050,55.5,7,142.7884615
2050,55.75,7,142.7884615
2050,56,7,142.7884615
2050,56.25,7,142.7884615
2050,56.5,7,142.7884615
2050,56.75,7,142.7884615
2050,57,7,142.7884615
2050,47,7.25,0
2050,47.25,7.25,0
2050,47.5,7.25,0
2050,47.75,7.25,0
2050,48,7.25,0
2050,48.25,7.25,0
2050,48.5,7.25,0
2050,48.75,7.25,0
2050,49,7.25,0
2050,49.25,7.25,110.5541695
2050,49.5,7.25,318.4541695
2050,49.75,7.25,133.2506695
2050,50,7.25,216.9441695
2050,50.25,7.25,234.3541695
2050,50.5,7.25,99.97416951
2050,50.75,7.25,97.99416951
2050,51,7.25,98.09416951
2050,51.25,7.25,100.9496695
2050,51.5,7.25,127.3911695
2050,51.75,7.25,158.0941695
2050,52,7.25,280.6941695
2050,52.25,7.25,256.2641695
2050,52.5,7.25,132.4040695
2050,52.75,7.25,212.7431695
2050,53,7.25,320.3441695
2050,53.25,7.25,343.0241695
2050,53.5,7.25,350.5539695
2050,53.75,7.25,207.9441695
2050,54,7.25,142.7884615
2050,54.25,7.25,142.7884615
2050,54.5,7.25,142.7884615
2050,54.75,7.25,142.7884615
2050,55,7.25,434.5794527
2050,55.25,7.25,0
2050,55.5,7.25,142.7884615
2050,55.75,7.25,142.7884615
2050,56,7.25,142.7884615
2050,56.25,7.25,142.7884615
2050,56.5,7.25,142.7884615
2050,56.75,7.25,142.7884615
2050,57,7.25,142.7884615
2050,47,7.5,0
2050,47.25,7.5,0
2050,47.5,7.5,88.60317838
2050,47.75,7.5,88.60317838
2050,48,7.5,88.60317838
2050,48.25,7.5,88.60317838
2050,48.5,7.5,88.60317838
2050,48.75,7.5,88.60317838
2050,49,7.5,88.60317838
2050,49.25,7.5,172.6041695
2050,49.5,7.5,179.5441695
2050,49.75,7.5,137.7841695
2050,50,7.5,392.3041695
2050,50.25,7.5,115.2951695
2050,50.5,7.5,107.3941695
2050,50.75,7.5,94.39416951
2050,51,7.5,98.79416951
2050,51.25,7.5,112.9951695
2050,51.5,7.5,118.5141695
2050,51.75,7.5,104.7941695
2050,52,7.5,151.8941695
2050,52.25,7.5,245.7241695
2050,52.5,7.5,179.3941695
2050,52.75,7.5,154.4541695
2050,53,7.5,232.5041695
2050,53.25,7.5,291.7941695
2050,53.5,7.5,396.3441695
2050,53.75,7.5,296.6191695
2050,54,7.5,142.7884615
2050,54.25,7.5,142.7884615
2050,54.5,7.5,434.5794527
2050,54.75,7.5,142.7884615
2050,55,7.5,142.7884615
2050,55.25,7.5,0
2050,55.5,7.5,142.7884615
2050,55.75,7.5,142.7884615
2050,56,7.5,142.7884615
2050,56.25,7.5,142.7884615
2050,56.5,7.5,142.7884615
2050,56.75,7.5,142.7884615
2050,57,7.5,142.7884615
2050,47,7.75,0
2050,47.25,7.75,0
2050,47.5,7.75,88.60317838
2050,47.75,7.75,88.60317838
2050,48,7.75,134.6949695
2050,48.25,7.75,101.7941695
2050,48.5,7.75,88.60317838
