Latitude,Longitude,Manufacturer,Turbine,TurbineHubheight,Totalpower,CommisioningDate,durchmesser,turbinen id,Nennleistung
54.165851,8.997974,Vestas,V47/660,60,8580,1998,,V47/660,660
54.165851,8.997974,Vestas,V112/3000,#ND,42000,2012,,V112/3000,3000
54.165851,8.997974,Vestas,V42/600,53,3600,1998,,V42/600,600
54.165851,8.997974,Vestas,V47/660,65,1320,2004,,V47/660,660
54.165851,8.997974,Vestas,V47/660,60,1980,1999,,V47/660,660
54.165851,8.997974,Vestas,V44/600,53,2400,1999,,V44/600,600
51.66,12.27,Enron,1.5s,#ND,7500,2002,,1.5s,1500
51.66,12.27,Dewind,D8.0,#ND,10000,2005,,D8.0,2000
51.66,12.27,Enercon,E70/2300,#ND,6900,2007,,E70/2300,2310
51.326081,9.173267,#ND,#ND,#ND,1200,1996,,Standard,3300
51.326081,9.173267,#ND,#ND,#ND,1200,1997,,Standard,3300
51.326081,9.173267,#ND,#ND,#ND,5600,2007,,Standard,3300
49.2267405,10.7231097,#ND,#ND,#ND,1800,2003,,Standard,3300
53.912699,9.7242252,Enercon,E70/2000,#ND,44000,2008,,E70/2000,2050
49.5843393,7.6058281,#ND,#ND,#ND,9200,2009,,Standard,3300
54.05,13.77,Repower,MD70,65,9000,2004,,MD70,1500
54.05,13.77,Repower,MD77,62,15000,2004,,MD77,1500
54.05,13.77,#ND,#ND,#ND,8500,2000,,Standard,3300
51.213478,13.334894,#ND,#ND,#ND,16400,2015,,Standard,3300
52.2812249,12.468867,#ND,#ND,#ND,24000,2003,,Standard,3300
52.2812249,12.468867,#ND,#ND,#ND,10800,2003,,Standard,3300
49.16,9.86,Dewind,D4,70,1200,2001,,D4,600
49.16,9.86,Dewind,D4,70,1200,2001,,D4,600
52.751944,13.940833,Vestas,V90/2000,80,8000,2009,,V90/2000,2000
52.751944,13.940833,Vestas,V90/2000,#ND,6000,2010,,V90/2000,2000
52.751944,13.940833,Vestas,V90/2000,#ND,4000,2011,,V90/2000,2000
52.9534886,11.2239516,#ND,#ND,#ND,7800,2002,,Standard,3300
52.9534886,11.2239516,#ND,#ND,#ND,7500,2004,,Standard,3300
