Latitude,Longitude,Manufacturer,Turbine,TurbineHubheight,Totalpower,CommisioningDate,durchmesser,turbinen id,Nennleistung
53.70161784,13.29888371,ENERCON GmbH,E92/2350,138.38,2350,2014,92,E92/2350,2350
53.69913702,13.29954427,ENERCON GmbH,E92/2350,138.38,2350,2014,92,E92/2350,2350
53.43032497,8.015887035,ENERCON GmbH,E101/3000,99,3050,2014,101,E101/3000,3000
54.25662129,9.12243323,Vestas Deutschland GmbH,V112/3300,119,3300,2014,112,V112/3300,3300
50.44167684,9.409851231,ENERCON GmbH,E101/3000,135.4,3050,2014,101,E101/3000,3000
50.44458324,9.405427694,ENERCON GmbH,E101/3000,135.4,3050,2014,101,E101/3000,3000
51.79770614,11.49594217,ENERCON GmbH,E70/2000,113.5,2300,2014,71,E70/2000,2050
54.25410332,9.123223936,Vestas Deutschland GmbH,V112/3300,119,3300,2014,112,V112/3300,3300
50.5459532,6.448442625,ENERCON GmbH,E101/3000,149,3050,2014,101,E101/3000,3000
54.58399608,9.065407017,ENERCON GmbH,E70/2000,64,2300,2014,71,E70/2000,2050
49.71315409,10.04476204,ENERCON GmbH,E82/2000,138.38,2300,2014,82,E82/2000,2000
50.54285062,6.443189688,ENERCON GmbH,E101/3000,149,3050,2014,101,E101/3000,3000
51.67473242,7.196728191,ENERCON GmbH,E101/3000,135.4,3050,2014,101,E101/3000,3000
53.92551888,12.53509808,ENERCON GmbH,E101/3000,135.4,3050,2014,101,E101/3000,3000
50.44124731,9.409847423,ENERCON GmbH,E101/3000,135.4,3050,2014,101,E101/3000,3000
51.3959723,10.746969,ENERCON GmbH,E82/2000,108,2300,2014,82,E82/2000,2000
54.58447728,9.069970598,ENERCON GmbH,E70/2000,64,2300,2014,71,E70/2000,2050
54.58187825,9.062403124,ENERCON GmbH,E70/2000,64,2300,2014,71,E70/2000,2050
53.64432951,7.53442192,ENERCON GmbH,E70/2000,64,2300,2014,71,E70/2000,2050
50.54886532,6.443428947,ENERCON GmbH,E101/3000,149,3050,2014,101,E101/3000,3000
54.49197427,6.370206715,AREVA GmbH,M5000-116,92,5000,2014,116,Standard,3300
52.28075512,10.13762188,ENERCON GmbH,E101/3000,149,3050,2014,101,E101/3000,3000
52.28335696,10.13880235,ENERCON GmbH,E101/3000,149,3050,2014,101,E101/3000,3000
50.0790005,12.08386466,Vensys Energy AG,Vensys 112,140,2500,2014,112.5,Standard,3300
52.69855627,13.83914015,Vestas Deutschland GmbH,V90/2000,105,2000,2014,90,V90/2000,2000
52.70124579,13.84161015,Vestas Deutschland GmbH,V90/2000,105,2000,2014,90,V90/2000,2000
52.68406054,13.81550015,Vestas Deutschland GmbH,V90/2000,105,2000,2014,90,V90/2000,2000
52.68770306,13.80381015,Vestas Deutschland GmbH,V90/2000,105,2000,2014,90,V90/2000,2000
52.68617432,13.81339015,Vestas Deutschland GmbH,V90/2000,105,2000,2014,90,V90/2000,2000
50.31314994,8.366504787,Nordex SE,N117/2400,140.6,2400,2014,117,N117/2400,2400
50.3167952,8.364953084,Nordex SE,N117/2400,140.6,2400,2014,117,N117/2400,2400
50.04592207,7.368857657,ENERCON GmbH,E101/3000,134.5,3050,2014,101,E101/3000,3000
52.68808838,11.93066,Vestas Deutschland GmbH,V112/3000,94,3075,2014,112,V112/3000,3000
52.22174748,7.563938264,GE Wind Energy GmbH,2.5-120,139,2530,2014,120,2.5-120,2530
52.69394874,11.92269001,Vestas Deutschland GmbH,V112/3000,94,3075,2014,112,V112/3000,3000
52.69159316,11.92269,Vestas Deutschland GmbH,V112/3000,94,3075,2014,112,V112/3000,3000
52.69134829,11.93198,Vestas Deutschland GmbH,V112/3000,94,3075,2014,112,V112/3000,3000
53.02536221,7.922890653,ENERCON GmbH,E101/3000,135.4,3050,2014,101,E101/3000,3000
53.02217757,7.920809314,ENERCON GmbH,E101/3000,135.4,3050,2014,101,E101/3000,3000
52.69416057,11.92989,Vestas Deutschland GmbH,V112/3000,94,3075,2014,112,V112/3000,3000
49.78688069,8.308726565,ENERCON GmbH,E101/3000,135,3050,2014,101,E101/3000,3000
49.42508824,10.77141179,GE Wind Energy GmbH,2.5-120,139,2530,2014,120,2.5-120,2530
49.791185,8.31236099,ENERCON GmbH,E101/3000,135,3050,2014,101,E101/3000,3000
49.42803219,10.76819548,GE Wind Energy GmbH,2.5-120,139,2530,2014,120,2.5-120,2530
53.2295484,12.2062442,Vestas Deutschland GmbH,V112/3000,140,3075,2014,112,V112/3000,3000
49.29629996,10.13561886,Nordex SE,N117/2400,140,2400,2014,117,N117/2400,2400
49.29680294,10.1449499,Nordex SE,N117/2400,140,2400,2014,117,N117/2400,2400
54.59642512,8.963175385,ENERCON GmbH,E70/2000,64,2300,2014,71,E70/2000,2050
53.62631114,7.463476809,ENERCON GmbH,E92/2350,138,2350,2014,92,E92/2350,2350
51.04038979,6.530792062,Senvion Deutschland GmbH,3.2M114,143,3170,2014,114,3.2M114,3200
54.59728679,8.960312318,ENERCON GmbH,E70/2000,64,2300,2014,71,E70/2000,2050
50.04421647,11.292389,GE Wind Energy GmbH,2.5-120,139,2500,2014,120,2.5-120,2530
50.04321025,11.303519,GE Wind Energy GmbH,2.5-103,139,2500,2014,120,2.5-103,2500
54.58908644,8.965563964,ENERCON GmbH,E70/2000,64,2300,2014,71,E70/2000,2050
51.03717909,6.531162035,Senvion Deutschland GmbH,3.2M114,143,3170,2014,114,3.2M114,3200
49.29310455,10.13896203,Nordex SE,N117/2400,140,2400,2014,117,N117/2400,2400
50.04010978,11.304522,GE Wind Energy GmbH,2.5-103,139,2500,2014,120,2.5-103,2500
50.04636631,11.304161,GE Wind Energy GmbH,2.5-103,139,2500,2014,120,2.5-103,2500
49.71989095,10.04355262,ENERCON GmbH,E101/3000,135.4,3000,2014,101,E101/3000,3000
54.85219803,9.20214048,Senvion Deutschland GmbH,3.2M114,123,3170,2014,114,3.2M114,3200
50.17036701,6.247160562,ENERCON GmbH,E82/2000,139,2300,2014,82,E82/2000,2000
50.30504935,8.352316767,Nordex SE,N117/2400,140.6,2400,2014,117,N117/2400,2400
50.04380632,7.359033356,ENERCON GmbH,E101/3000,135,3050,2014,101,E101/3000,3000
54.58553211,9.075139211,ENERCON GmbH,E70/2000,64,2300,2014,71,E70/2000,2050
54.5803691,9.071139383,ENERCON GmbH,E70/2000,64,2300,2014,71,E70/2000,2050
52.59198058,11.07197814,ENERCON GmbH,E101/3000,135.4,3050,2014,101,E101/3000,3000
52.59531107,11.07616585,ENERCON GmbH,E101/3000,135.4,3050,2014,101,E101/3000,3000
54.58263468,9.072117799,ENERCON GmbH,E70/2000,64,2300,2014,71,E70/2000,2050
49.42160498,10.77289926,GE Wind Energy GmbH,2.5-120,139,2530,2014,120,2.5-120,2530
54.1351994,12.17926139,Nordex SE,N117/2400,91.5,2400,2014,116.8,N117/2400,2400
49.54991,10.15626197,Nordex SE,N117/2400,141,2400,2014,117,N117/2400,2400
49.54690816,10.15972235,Nordex SE,N117/2400,141,2400,2014,117,N117/2400,2400
49.55309447,10.15624195,Nordex SE,N117/2400,141,2400,2014,117,N117/2400,2400
53.13448038,12.12363009,Vestas Deutschland GmbH,V90/2000,105,2000,2014,90,V90/2000,2000
49.25271309,10.574647,Nordex SE,N117/2400,120,2400,2014,117,N117/2400,2400
49.25337163,10.568553,Nordex SE,N117/2400,120,2400,2014,117,N117/2400,2400
52.65264772,11.59639066,Vestas Deutschland GmbH,V112/3000,94,3075,2014,112,V112/3000,3000
49.73101619,11.64851315,Nordex SE,N117/2400,140.6,2400,2014,117,N117/2400,2400
