Date,Latitude,Longitude,value
2017,47,5.5,0
2017,47.25,5.5,0
2017,47.5,5.5,0
2017,47.75,5.5,0
2017,48,5.5,0
2017,48.25,5.5,0
2017,48.5,5.5,0
2017,48.75,5.5,0
2017,49,5.5,0
2017,49.25,5.5,0
2017,49.5,5.5,0
2017,49.75,5.5,0
2017,50,5.5,0
2017,50.25,5.5,0
2017,50.5,5.5,0
2017,50.75,5.5,0
2017,51,5.5,0
2017,51.25,5.5,0
2017,51.5,5.5,0
2017,51.75,5.5,0
2017,52,5.5,0
2017,52.25,5.5,0
2017,52.5,5.5,0
2017,52.75,5.5,0
2017,53,5.5,0
2017,53.25,5.5,0
2017,53.5,5.5,0
2017,53.75,5.5,0
2017,54,5.5,0
2017,54.25,5.5,0
2017,54.5,5.5,0
2017,54.75,5.5,0
2017,55,5.5,0
2017,55.25,5.5,0
2017,55.5,5.5,0
2017,55.75,5.5,0
2017,56,5.5,0
2017,56.25,5.5,0
2017,56.5,5.5,0
2017,56.75,5.5,0
2017,57,5.5,0
2017,47,5.75,0
2017,47.25,5.75,0
2017,47.5,5.75,0
2017,47.75,5.75,0
2017,48,5.75,0
2017,48.25,5.75,0
2017,48.5,5.75,0
2017,48.75,5.75,0
2017,49,5.75,0
2017,49.25,5.75,0
2017,49.5,5.75,0
2017,49.75,5.75,0
2017,50,5.75,0
2017,50.25,5.75,0
2017,50.5,5.75,0
2017,50.75,5.75,0
2017,51,5.75,0
2017,51.25,5.75,0
2017,51.5,5.75,0
2017,51.75,5.75,0
2017,52,5.75,0
2017,52.25,5.75,0
2017,52.5,5.75,0
2017,52.75,5.75,0
2017,53,5.75,0
2017,53.25,5.75,0
2017,53.5,5.75,0
2017,53.75,5.75,0
2017,54,5.75,0
2017,54.25,5.75,219.7909911
2017,54.5,5.75,0
2017,54.75,5.75,0
2017,55,5.75,0
2017,55.25,5.75,0
2017,55.5,5.75,0
2017,55.75,5.75,0
2017,56,5.75,0
2017,56.25,5.75,0
2017,56.5,5.75,0
