LAT,LON,01.01.2010,02.01.2010,03.01.2010,04.01.2010,05.01.2010,06.01.2010,07.01.2010,08.01.2010,09.01.2010,10.01.2010,11.01.2010,12.01.2010,13.01.2010,14.01.2010,15.01.2010,16.01.2010,17.01.2010,18.01.2010,19.01.2010,20.01.2010,21.01.2010,22.01.2010,23.01.2010,24.01.2010,25.01.2010,26.01.2010,27.01.2010,28.01.2010,29.01.2010,30.01.2010,31.01.2010
54.5,8.5,5.871612,4.904467,4.53666,5.735111,7.624322,5.725343,5.42819,8.221408,13.23595,13.14196,9.887005,7.921856,11.21295,8.547526,6.264571,10.36196,4.523437,2.930872,6.388995,8.322675,7.572962,8.017767,8.741845,9.146162,7.156099,3.288847,11.18711,10.6081,5.82897,6.295247,6.976137
54.5,9,3.169449,2.34025,2.787518,4.07443,5.001342,3.787966,2.894014,5.213082,8.868247,9.571962,6.701421,4.480625,7.318598,5.600153,3.758121,6.709316,3.095739,1.825927,3.787177,5.3409,5.156793,5.29136,5.905432,6.619035,4.428247,1.989332,7.784461,6.791024,3.792614,4.513613,4.711683
54.5,9.5,3.420095,2.409269,2.755383,4.609305,5.064743,3.470951,2.740535,5.353649,9.490203,9.694032,6.88841,4.191134,7.297832,5.739817,3.838568,6.898736,3.403352,1.961853,3.77394,5.424847,5.079379,5.110081,5.824843,6.628418,4.538833,2.034436,7.641141,6.683195,3.671271,4.961544,4.963017
54.5,10,3.706701,2.500264,2.744567,5.236126,5.145204,3.195419,2.697371,5.513798,10.21493,9.835039,7.106579,3.880561,7.277622,5.907667,3.936971,7.114245,3.826291,2.377892,3.818218,5.539076,4.998388,4.924313,5.748366,6.662336,4.685555,2.13786,7.557265,6.617233,3.702671,5.548236,5.374558
54.5,10.5,5.176454,4.683295,4.236454,7.017217,7.12157,4.73913,4.813403,7.664291,13.07012,12.02342,9.156468,5.593254,9.596195,8.249402,5.858743,9.597779,6.164412,2.990881,5.321667,7.785377,6.987947,6.748683,8.012501,9.132021,6.481518,2.739094,9.813621,8.140928,4.802662,7.108245,6.460641
54.5,11,6.031516,5.556656,4.927255,8.423485,8.2167,5.267726,5.536756,8.689062,14.82938,13.25616,10.03457,6.167628,10.57649,9.322973,6.81263,10.7596,7.233511,3.375201,5.994125,8.633364,7.801883,7.658774,9.05177,10.36244,7.346849,3.073629,11.01571,9.101744,5.558308,8.392453,7.445562
54.5,11.5,6.739361,6.239112,5.225684,9.729519,8.55831,5.386962,5.516737,9.201272,16.28604,14.44966,10.45904,6.064488,10.7537,9.599617,7.133651,11.09848,7.782405,3.813775,5.971793,8.877639,8.085973,7.90183,9.334759,10.89299,7.727828,3.211551,11.74654,9.835199,6.103029,9.525068,8.299232
54.5,12,6.977726,6.439113,5.185778,10.27442,8.386984,5.327268,5.199183,9.20307,16.7868,14.95258,10.47589,5.744998,10.48886,9.382993,7.002653,10.89382,7.883376,4.119543,5.792852,8.726748,7.982035,7.719976,9.136465,10.82016,7.68506,3.20277,11.9178,10.05607,6.3039,9.985543,8.643808
54.5,12.5,7.064253,6.542239,5.177537,10.47401,8.3108,5.336804,5.091762,9.189794,16.95321,15.15746,10.51591,5.651901,10.36336,9.287668,6.940854,10.80286,7.969358,4.218441,5.715851,8.650179,7.947716,7.647355,9.047767,10.77063,7.650538,3.212046,11.9938,10.13409,6.371868,10.18234,8.756559
54.5,13,7.054773,6.747665,5.209881,10.45445,8.208388,5.435847,5.12408,9.096258,16.85073,15.29324,10.68367,5.768322,10.16904,9.16765,6.842309,10.68601,8.174197,3.98215,5.401284,8.500193,7.964821,7.602657,8.932364,10.62041,7.522043,3.264198,12.0001,10.12196,6.22908,10.29389,8.644006
54.5,13.5,7.036964,7.443551,5.446319,10.43825,7.957888,5.7674,5.291766,8.844985,16.56446,15.67447,11.16446,6.172355,9.632229,8.835114,6.567855,10.36044,9.298803,3.570847,4.69731,8.081474,8.013891,7.479843,8.611382,10.202,7.170895,3.45277,12.09327,10.11909,5.914357,10.85661,8.475915
54.5,14,7.317791,7.663817,5.66172,10.82443,7.7218,5.763772,3.784004,8.600821,16.38898,15.46566,10.45549,5.349562,8.861563,8.498538,6.445847,10.05221,10.43817,3.972411,4.900402,7.809366,7.889462,7.387841,8.229556,9.771943,6.918034,3.498057,11.95852,10.76593,6.163031,10.70115,8.873553
54.5,14.5,7.422714,7.760222,5.754124,10.993,7.644564,5.788617,3.294348,8.518553,16.32903,15.39378,10.21739,5.060012,8.588204,8.381315,6.406137,9.945372,10.86544,4.308521,5.025486,7.723357,7.850626,7.356663,8.099403,9.620632,6.837843,3.533734,11.99616,11.00408,6.316883,10.73418,9.05928
54.5,15,7.208738,7.696114,5.761471,10.76183,7.559271,5.751556,2.761617,8.154809,15.94897,14.98553,9.841754,4.949673,8.198293,8.185399,6.270529,9.704147,11.19751,4.321575,4.97055,7.565022,7.790235,7.314746,7.912949,9.258446,6.611721,3.539612,11.79206,11.11553,6.056777,10.03784,8.94327
54.5,15.5,6.903963,7.602222,5.762281,10.43907,7.462593,5.717176,2.222013,7.698284,15.45578,14.45652,9.391719,4.876754,7.73653,7.94856,6.098279,9.405415,11.55676,4.632805,4.875037,7.374975,7.719215,7.266683,7.694889,8.807875,6.328624,3.542889,11.59633,11.24602,5.694498,9.201662,8.799799
54.5,16,6.61236,7.478096,5.645724,10.17416,7.28071,5.698007,1.966125,7.369709,15.04276,14.07033,9.100663,4.838865,7.374787,7.713181,5.918812,9.139369,11.67271,4.945612,4.840654,7.229547,7.648217,7.18537,7.481222,8.401346,6.054339,3.499114,11.37243,11.18109,5.400833,8.756071,8.599658
54.5,16.5,6.107786,7.180255,5.209383,9.765087,6.802299,5.656987,1.768979,6.998878,14.43902,13.63114,8.859939,4.817054,6.899448,7.290058,5.580387,8.716511,11.43574,5.220806,4.884903,7.044745,7.516551,6.975741,7.098428,7.745463,5.571111,3.342453,10.81098,10.66882,4.975206,8.301324,8.061749
54.5,17,5.144117,6.628218,4.33285,8.989809,5.931475,5.614934,1.587341,6.26142,13.22049,12.74648,8.371196,4.763985,5.883219,6.390433,4.838668,7.859315,10.99903,6.60387,5.090693,6.733567,7.288724,6.556305,6.287225,6.332245,4.538844,3.119874,9.682826,9.670364,4.268363,7.636593,7.005652
54.5,17.5,5.160075,6.690602,4.150966,9.024896,6.020415,5.719264,1.497551,5.942051,13.01153,12.60571,8.26821,4.636429,5.474167,6.061289,4.477149,7.694747,11.06198,7.469943,5.487453,6.867916,7.385953,6.498208,5.999373,5.744703,4.142277,3.230675,8.98428,9.57866,4.265441,7.386748,6.724752
54.5,18,5.200748,6.75884,4.039405,9.065105,6.128098,5.83298,1.653222,5.717776,12.8047,12.46678,8.166544,4.516451,5.068577,5.735134,4.121726,7.532236,11.12815,8.427373,5.909181,7.004214,7.483382,6.440282,5.718883,5.160649,3.754057,3.418472,8.356503,9.67827,4.32713,8.344761,6.473361
54.5,18.5,5.84137,7.505504,3.99727,9.211811,7.047252,6.311145,2.498456,5.263358,12.97321,12.62161,8.136351,4.568223,4.939418,5.910845,4.133638,7.938228,11.83858,9.659943,6.816962,7.68327,8.006543,7.027015,6.21996,5.128307,3.645179,3.598631,7.885723,10.43343,4.926376,10.14465,6.324959
54.5,19,6.097626,7.773692,4.107283,9.266902,7.383505,6.487353,2.914682,5.212551,13.03441,12.6777,8.126627,4.587896,4.895789,5.973954,4.139299,8.084105,12.09276,10.11922,7.149008,7.926135,8.1939,7.237017,6.399737,5.118148,3.6104,3.756117,8.073693,10.95836,5.217425,11.12061,6.277185
54.5,19.5,4.822685,5.979875,3.136973,7.160076,5.757232,5.162156,2.730733,3.502056,10.56727,10.48036,6.538658,3.433388,3.565814,4.633308,3.049027,6.459763,9.872226,8.238784,5.912832,6.529144,6.627508,5.657101,4.971831,3.635107,2.717746,3.006068,6.412113,8.963095,4.194222,9.256817,4.404408
54.5,20,4.34732,5.303602,2.855134,6.396069,5.15057,4.672089,2.671251,3.169055,9.651385,9.66448,5.956698,3.009761,3.079872,4.142019,2.657796,5.860727,9.043995,7.549449,5.450932,6.009642,6.049969,5.076878,4.443901,3.094247,2.395786,2.847005,5.913931,8.416975,3.840109,8.648026,3.721961
54.5,20.5,4.141487,4.910721,2.660585,5.967505,4.818615,4.524219,2.624425,3.023324,9.104188,9.261173,5.744056,2.858848,2.882803,3.960022,2.569516,5.554419,8.596495,7.178572,5.259184,5.833952,5.811883,4.829549,4.153344,2.785756,2.165271,2.662381,5.54162,7.86163,3.635753,8.151568,3.345337
54.5,21,3.978581,4.506784,2.485523,5.551787,4.499411,4.496332,2.586885,2.884041,8.515079,8.888897,5.619298,2.777869,2.743585,3.849514,2.583859,5.264936,8.152343,6.82619,5.121725,5.750606,5.643185,4.6502,3.870178,2.478628,1.922716,2.530968,5.142146,7.364821,3.477143,7.633468,3.084058
54.5,21.5,3.869587,4.244626,2.419248,5.313683,4.326342,4.52623,2.664492,2.869724,8.11298,8.663471,5.579661,2.745884,2.638137,3.75163,2.573555,5.02541,7.868919,6.635498,5.054516,5.733304,5.556558,4.5623,3.662488,2.240874,1.661962,2.61319,4.916035,7.284364,3.480685,7.40161,2.968245
54.5,22,3.864884,4.245409,2.451929,5.386718,4.432721,4.657006,2.98934,2.982993,8.090841,8.765854,5.740395,2.816492,2.581716,3.64438,2.4814,4.830394,7.920138,6.747284,5.128115,5.863855,5.628798,4.63877,3.550774,2.066742,1.236164,2.81558,4.798537,7.358786,3.743012,7.469948,2.776419
54.5,22.5,3.868169,4.250905,2.589833,5.462762,4.544038,4.792928,3.324009,3.119818,8.068834,8.8694,5.90169,2.892985,2.534452,3.538002,2.389551,4.63578,7.973474,6.860008,5.20249,5.994734,5.702428,4.716041,3.44519,1.910405,1.044456,3.119809,4.701607,7.635269,4.038028,7.57136,2.881403
54.5,23,3.664792,3.907702,2.629029,5.238246,4.480752,4.663784,3.211432,2.988461,7.662949,8.598002,5.737195,2.818313,2.366705,3.274801,2.266535,4.201384,7.586133,6.497478,4.989242,5.759882,5.472695,4.516124,3.184044,1.72933,1.06802,3.308265,4.4692,7.492017,4.155953,7.307127,2.958924
54.5,23.5,3.469209,3.576286,2.69192,5.015526,4.420872,4.57604,3.107988,2.866943,7.257239,8.327833,5.574258,2.748625,2.215356,3.01676,2.149285,3.772823,7.199657,6.137711,4.777038,5.527922,5.2483,4.323359,2.947896,1.628256,1.438801,3.506237,4.248984,7.507391,4.302302,7.060762,3.128155
54.5,24,3.369747,3.452887,2.633716,4.837721,4.392136,4.677227,3.007862,2.79729,7.062325,8.304275,5.635144,2.75395,2.20825,2.962483,2.090522,3.568255,7.006091,6.011411,4.819793,5.490746,5.253154,4.198842,2.739793,1.630355,1.856115,3.598591,4.076773,7.588088,4.414107,6.921634,3.215243
54.5,24.5,3.310516,3.403262,2.545462,4.675798,4.376845,4.881213,3.026854,2.752146,6.938229,8.365824,5.776393,2.787015,2.247809,2.981136,2.060138,3.450801,6.877345,5.963673,4.948283,5.519526,5.334765,4.100684,2.564176,1.68769,2.27057,3.666832,3.920753,7.718379,4.522547,6.82254,3.294301
